# orbital-overhaul telemetry v3
# build=1.0.0.38
# overrides=ON
# telemetryInterval=15
# rows=136
# source=this run
# levers=telemetryCapture=1
t,level,score,hp,speed,rapidLeft,tripleLeft,magnetLeft,engineLeft,guardLeft,scoopLevel,rapidPicked,triplePicked,healthPicked,magnetPicked,enginePicked,scoopPicked,guardPicked,dmgDebris3,dmgDebris2,dmgDebris1,dmgHunter3,dmgHunter2,dmgHunter1,dmgUfoBodyLarge,dmgUfoBodySmall,dmgUfoShotLarge,dmgUfoShotSmall,chainLen,cargoMax,delivered,deliveryScore,cargoDamageEvents,cargoSevers,debrisKills,hunterKills,saucerKills,hunterCoalesced,deflects,hitsTaken,scoreRepairBonus,scoreScoopBonus,debugRun,resumedRun
15.00549999999983,1,220,250,106.64009513564716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,4,0,0,0,0,0,0,0,false,false
30.005100000001573,1,1690,250,117.50092324967501,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,8,8,1100,0,0,9,0,0,0,0,0,0,0,false,false
45.00470000000019,1,3110,250,208.80502150713687,34,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,16,2200,0,0,14,0,0,0,0,0,0,0,false,false
60.004199999998235,1,3110,230,153.84502172736038,25,0,0,0,0,1,1,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,6,8,16,2200,1,1,14,0,0,0,0,1,0,0,false,false
75.00369999999555,1,3110,210,121.63839572603932,19,0,0,0,0,1,1,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0,0,0,8,16,2200,1,1,14,0,0,0,0,2,0,0,false,false
90.00329999999258,1,4460,210,79.13789707416139,43,0,24,0,0,1,2,0,0,1,0,1,0,0,0,40,0,0,0,0,0,0,0,8,8,24,3300,1,1,17,0,0,0,0,2,0,0,false,false
105.0027999999896,2,4860,210,111.29961222903327,35,28,24,0,0,1,2,1,0,1,0,1,0,0,0,40,0,0,0,0,0,0,0,8,8,24,3300,1,1,19,0,1,0,0,2,0,0,false,false
120.00239999998664,2,8920,210,261.78925715789313,26,109,8,0,0,1,2,4,0,1,0,1,0,0,0,40,0,0,0,0,0,0,0,8,8,40,5500,1,1,32,0,2,1,0,2,0,0,false,false
135.0018999999837,2,11370,235,229.97636396262445,62,105,0,0,0,2,3,4,0,1,0,2,0,0,0,40,0,0,0,0,0,0,0,0,8,56,7700,1,1,35,0,2,1,0,2,0,0,false,false
150.00149999998072,2,14470,235,235.37209462523015,39,142,0,0,0,2,3,6,0,1,0,2,0,0,0,40,0,0,0,0,0,0,0,8,8,56,7700,1,1,35,13,3,2,0,2,0,0,false,false
165.00099999997775,2,20940,250,56.6106305107349,14,177,0,0,0,3,3,8,0,1,0,3,0,0,0,40,0,0,0,0,0,0,0,3,8,64,8800,2,2,37,37,3,4,0,2,0,0,false,false
180.00049999997478,2,25740,250,64.64947108563061,25,148,0,0,0,3,4,8,0,1,0,3,0,0,0,40,0,0,0,0,0,0,0,6,8,72,9900,2,2,40,52,3,4,0,2,0,0,false,false
195.00609999997178,2,27440,250,171.53795778315072,19,142,0,14.309599999999923,3,3,4,8,0,1,2,3,1,0,0,40,0,0,0,0,0,0,0,1,8,80,11000,0,2,45,52,4,5,0,2,0,0,false,false
210.00569999996884,2,28640,250,249.67113303813906,55,138,0,9.558299999999969,3,3,5,8,0,1,2,3,1,0,0,40,0,0,0,0,0,0,0,0,8,88,12100,0,2,46,52,4,5,0,2,0,0,false,false
225.00519999996587,2,29740,250,147.87469623037933,55,138,32,3.7947999999998405,3,3,5,8,1,2,2,3,1,0,0,40,0,0,0,0,0,0,0,0,8,96,13200,0,2,46,52,4,5,0,2,0,0,false,false
240.0046999999629,2,33340,250,83.99567459673648,133,136,17,0,3,3,7,8,1,2,2,3,1,0,0,40,0,0,0,0,0,0,0,7,8,104,14300,0,2,46,52,4,5,0,2,2500,0,false,false
255.00429999995993,3,45000,250,231.45011963564414,141,164,6,0,3,3,8,10,1,2,2,3,1,0,0,40,0,0,0,0,0,0,0,2,8,120,16500,0,2,54,77,5,7,0,2,5000,0,false,false
270.00389999996634,3,47690,190,166.20675537796578,154,167,0,0,3,3,9,11,1,2,2,3,1,0,0,40,60,0,0,0,0,0,0,8,8,120,16500,0,2,61,87,5,9,0,3,5000,0,false,false
285.0033999999731,3,50790,170,352.7968100629143,172,145,0,0,3,4,10,11,1,2,2,4,1,0,0,40,60,45,0,0,0,0,0,6,8,128,17600,0,2,73,91,6,9,0,4,5000,0,false,false
300.0029999999804,3,54590,195,30.280877906350433,184,117,0,0,3,4,11,11,2,2,2,4,1,0,0,40,60,45,0,0,0,0,0,3,8,136,18700,0,2,79,100,6,10,0,4,5000,0,false,false
315.0023999999866,3,56390,195,90.96302188295192,251,104,0,0,3,4,13,11,2,2,2,4,1,0,0,40,60,45,0,0,0,0,0,8,8,144,19800,0,2,79,102,7,10,0,4,5000,0,false,false
330.00199999999313,3,62240,220,138.08336155863498,227,140,0,0,0,4,13,13,2,2,2,4,1,0,0,40,60,45,0,0,0,0,0,5,8,152,20900,1,3,80,122,8,12,0,4,5000,0,false,false
345.00149999999957,3,66690,190,228.17020448639764,188,131,0,9.97570000000001,0,4,13,14,2,2,3,5,1,0,0,40,60,45,30,0,0,0,0,0,8,152,20900,2,4,81,142,8,14,0,5,5000,0,false,false
360.0011000000079,4,70290,215,43.180180656578365,159,102,39,14.94590000000017,0,4,13,14,2,3,4,5,1,0,0,40,60,45,30,0,0,0,0,8,8,152,20900,3,5,82,157,9,15,0,5,5000,0,false,false
375.00060000001463,4,73810,215,20.360066219986347,133,76,39,9.054899999999877,0,5,13,14,2,3,4,6,1,0,0,40,60,45,30,0,0,0,0,8,8,152,20900,3,5,86,171,10,16,0,5,5000,0,false,false
390.0002000000221,4,79945,215,19.977215748589078,85,28,31,6.321699999999793,0,5,13,14,2,3,4,6,1,0,0,40,60,45,30,0,0,0,0,8,8,155,21075,1,6,102,191,11,18,0,5,5000,0,false,false
405.0058000000288,4,82320,240,165.22184403437709,111,44,23,0.7585999999998441,3,5,14,15,2,3,4,6,2,0,0,40,60,45,30,0,0,0,0,1,8,170,23050,1,6,104,192,11,18,0,5,5000,0,false,false
420.00530000003516,4,91265,250,139.18328016705618,58,51,15,0,3,5,14,17,2,3,4,6,2,0,0,40,60,45,30,0,0,0,0,8,8,171,23275,1,6,110,229,11,20,0,5,5000,0,false,false
435.0049000000422,4,91735,230,184.45069622382078,44,67,47,0,3,5,14,18,2,4,4,6,2,0,0,60,60,45,30,0,0,0,0,8,8,171,23275,1,6,117,229,11,20,0,6,5000,0,false,false
450.00440000004954,4,94385,250,221.74649556953779,75,58,38,0,2,5,15,18,3,4,4,6,2,0,0,60,60,45,30,0,0,0,0,1,8,187,25475,1,6,122,229,11,20,0,6,5000,0,false,false
465.0040000000563,5,96955,250,192.08780530634763,56,39,21,6.024399999999861,2,5,15,18,3,4,5,7,2,0,0,60,60,45,30,0,0,0,0,10,10,195,26575,1,6,129,230,12,21,0,6,5000,500,false,false
480.0035000000627,5,99420,200,57.5763854999012,35,48,1,0,2,5,15,19,3,4,5,7,2,50,0,60,60,45,30,0,0,0,0,10,10,205,28200,1,6,139,231,12,22,0,7,5000,500,false,false
495.0031000000693,5,106085,225,161.51267952517117,0,34,0,0,4,5,15,20,3,4,5,8,3,50,0,60,60,45,30,0,0,0,0,5,10,215,29825,0,6,154,247,12,23,0,7,5000,1000,false,false
510.0026000000769,5,112010,250,175.65778362054573,0,4,32,0,1,5,15,20,3,5,5,9,3,50,0,60,60,45,30,0,0,0,0,10,10,225,31450,0,6,159,262,12,25,0,7,5000,1500,false,false
525.0022000000142,5,113710,190,191.64560752672358,0,0,12,0,3,5,15,20,3,5,5,9,4,50,0,60,60,45,90,0,0,0,0,10,10,225,31450,0,6,163,268,12,25,0,9,5000,1500,false,false
540.0016999999409,5,114810,160,165.17895607577336,0,0,36,0,3,4,15,20,3,6,5,9,4,50,0,60,60,45,120,0,0,0,0,7,10,234,32350,0,6,163,268,13,25,0,10,5000,1500,false,false
555.0011999998676,5,120835,185,39.775849634414456,0,0,13,0,0,5,16,20,3,6,5,10,4,50,0,60,60,45,120,0,0,0,0,5,10,251,35375,1,7,165,280,14,26,0,10,5000,1500,false,false
570.0007999997943,5,123785,155,127.04157088564892,25,0,0,0,0,5,17,20,3,6,5,10,4,50,0,60,60,45,150,0,0,0,0,4,10,253,35475,7,13,165,292,15,27,0,11,5000,1500,false,false
585.0003999997209,5,127285,155,158.15727031372646,0,0,0,0,0,5,17,20,3,6,5,10,4,50,0,60,60,45,150,0,0,0,0,10,10,258,35975,7,13,165,304,16,27,0,11,5000,1500,false,false
600.0058999996476,5,128910,120,135.33986650329152,40,0,38,4.424199999999927,0,5,18,20,4,7,6,10,4,50,0,60,120,45,150,0,0,0,0,2,10,268,37600,7,13,165,304,16,28,0,12,5000,1500,false,false
615.0053999995743,5,140435,95,199.957290438409,29,70,11,9.624299999999728,0,5,19,23,4,7,7,10,4,50,0,60,120,90,180,0,0,0,0,1,10,287,40575,9,15,165,339,17,29,0,14,5000,1500,false,false
630.004999999501,5,141785,120,108.96810741945305,21,62,2,1.970199999999257,0,5,19,23,5,7,7,11,4,50,0,60,120,90,180,0,0,0,0,10,10,287,40575,9,15,166,342,18,29,0,14,5000,2000,false,false
645.0046999994277,6,145030,120,128.76588611063474,7,48,0,0,0,5,19,23,5,7,7,11,4,50,0,60,120,90,180,0,0,0,0,12,12,297,42200,9,15,173,346,19,30,0,14,5000,2000,false,false
660.0042999993544,6,152200,145,77.81642228620338,40,28,0,0,0,5,20,23,5,7,7,11,4,50,0,60,120,90,180,0,0,0,0,0,12,309,44450,9,15,174,366,19,31,0,14,5000,2000,false,false
675.0037999992811,6,153970,145,167.30886000033968,27,15,0,0,0,5,20,23,5,7,7,12,4,50,0,60,120,90,180,0,0,0,0,12,12,309,44450,10,16,188,366,20,32,0,14,5000,2500,false,false
690.0032999992078,6,157270,145,85.58498334206482,15,3,0,0,0,5,20,23,5,7,7,13,4,50,0,60,120,90,180,0,0,0,0,0,12,321,46700,10,16,194,366,20,32,0,14,5000,3000,false,false
705.0028999991343,6,157470,145,285.08270126129895,14,32,0,0,0,5,20,24,5,7,7,13,4,50,0,60,120,90,180,0,0,0,0,12,12,321,46700,10,16,194,366,21,32,0,14,5000,3000,false,false
720.002399999061,6,162390,170,65.45661916171414,7,55,0,5.406100000000334,0,5,20,25,5,7,8,13,4,50,0,60,120,90,180,0,0,0,0,9,12,345,51200,10,16,200,366,21,32,0,14,5000,3000,false,false
735.0018999989877,6,165060,195,80.95010628473091,1,79,0,1.0484000000001337,0,5,20,26,6,7,8,13,4,50,0,60,120,90,180,0,0,0,0,4,12,357,53450,10,16,206,366,21,32,0,14,5000,3000,false,false
750.0014999989145,6,167660,195,109.66895058041658,80,75,0,0,0,5,22,26,6,7,8,13,4,50,0,60,120,90,180,0,0,0,0,12,12,369,55700,10,16,208,366,22,32,0,14,5000,3000,false,false
765.0009999988412,6,170210,220,51.389416175537654,72,97,0,0,3,5,22,27,6,7,8,13,5,50,0,60,120,90,180,0,0,0,0,1,12,381,57950,0,16,209,366,23,32,0,14,5000,3000,false,false
780.0004999987679,6,173460,220,184.44116811681963,108,123,0,0,3,5,23,28,6,7,8,13,5,50,0,60,120,90,180,0,0,0,0,0,12,393,60200,0,16,209,366,24,32,0,14,5000,3000,false,false
795.0000999986944,6,175085,220,91.69231184983417,106,121,0,10,3,5,23,28,6,7,9,13,5,50,0,60,120,90,180,0,0,0,0,2,12,403,61825,0,16,209,366,24,32,0,14,5000,3000,false,false
810.0056999986211,6,183310,245,95.62268755756702,60,105,24,7.133400000000668,0,5,23,29,6,8,9,13,5,50,0,60,120,90,180,0,0,0,0,12,12,405,62450,1,17,213,399,24,35,0,14,5000,3000,false,false
825.0052999985479,6,190110,250,60.936497454182295,29,164,10,1.5879999999997594,0,5,23,32,6,8,9,13,5,50,0,60,120,90,180,0,0,0,0,9,12,417,64700,2,18,213,419,25,35,0,14,5000,3000,false,false
840.0047999984747,6,195260,250,202.14046377292468,18,183,0,0,0,5,23,33,7,8,9,13,5,50,0,60,120,90,180,0,0,0,0,10,12,429,66950,2,18,213,431,25,36,0,14,5000,3000,false,false
855.0042999984014,6,198460,250,295.5380588246173,0,164,0,0,0,5,23,33,8,8,9,13,5,50,0,60,120,90,180,0,0,0,0,12,12,429,66950,2,18,214,444,26,36,0,14,5000,3000,false,false
870.0037999983281,6,203210,250,232.76173563826532,40,164,0,7.788000000000083,0,5,24,33,8,8,10,13,5,50,0,60,120,90,180,0,0,0,0,4,12,441,69200,2,18,214,444,26,36,0,14,7500,3000,false,false
885.0032999982548,6,205335,250,254.6735789776452,78,162,0,0,3,5,25,33,8,8,10,13,6,50,0,60,120,90,180,0,0,0,0,12,12,452,71125,0,18,214,444,27,36,0,14,7500,3000,false,false
900.0028999981813,7,216650,250,150.5595510360432,34,148,0,0,2,5,25,34,8,8,10,13,6,50,0,60,120,90,180,0,0,0,0,7,14,466,74100,0,18,241,464,27,39,0,14,10000,3000,false,false
915.0024999981081,7,217050,250,70.34351673438012,60,134,0,0,2,5,26,34,8,8,10,13,6,50,0,60,120,90,180,0,0,0,0,14,14,466,74100,0,18,243,464,28,39,0,14,10000,3000,false,false
930.0019999980348,7,228625,250,154.7216018142161,64,98,0,0,2,5,27,34,8,8,10,14,6,50,0,60,120,90,180,0,0,0,0,4,14,480,77075,0,18,245,487,29,40,0,14,12500,3500,false,false
945.0014999979614,7,229645,250,129.4110397398284,54,88,0,0,2,5,27,34,8,8,10,14,6,50,0,60,120,90,180,0,0,0,0,10,14,484,77425,0,18,254,487,29,42,0,14,12500,3500,false,false
960.0009999978882,7,237570,215,216.0064571261613,36,70,32,6.4000999999996635,2,4,27,34,8,9,11,14,6,50,35,60,120,90,180,0,0,0,0,8,14,499,80550,0,18,256,496,29,43,0,15,15000,3500,false,false
975.000599997815,7,245165,250,225.57595320477134,5,39,13,1.2790999999998498,2,5,27,34,9,9,11,15,6,50,35,60,120,90,180,0,0,0,0,13,14,513,83525,0,18,260,516,29,45,0,15,15000,3500,false,false
990.0000999977417,7,249135,250,284.46591978533434,0,77,3,0,0,5,27,36,9,9,11,15,6,50,35,60,120,90,180,0,0,0,0,12,14,513,83525,2,20,266,530,31,45,0,15,15000,3500,false,false
1005.0056999976682,7,257635,190,243.618201762049,0,44,23,0,0,5,27,36,9,10,11,16,7,50,35,60,120,90,240,0,0,0,0,0,14,513,83525,5,23,271,552,32,48,0,17,17500,4000,false,false
1020.005299997595,7,260835,215,182.00131311184526,0,23,9,0,0,5,27,36,9,10,11,16,7,50,35,60,120,90,240,0,0,0,0,14,14,513,83525,0,23,275,564,33,48,0,17,17500,4000,false,false
1035.0047999976155,7,264860,215,43.39291706161219,0,0,0,0,0,5,27,36,9,10,11,16,7,50,35,60,120,90,240,0,0,0,0,2,14,516,83750,4,27,277,580,33,50,0,17,17500,4000,false,false
1050.0043999976724,7,265310,185,200.73468806464427,0,0,0,0,0,5,27,36,9,10,11,16,7,50,35,60,120,90,270,0,0,0,0,14,14,516,83750,7,30,279,581,33,50,0,18,17500,4000,false,false
