# orbital-overhaul telemetry v2
# build=1.0.0.38
# overrides=ON
# telemetryInterval=15
# rows=53
# source=this run
# levers=telemetryCapture=1
t,level,score,hp,speed,rapidLeft,tripleLeft,magnetLeft,engineLeft,guardLeft,scoopLevel,rapidPicked,triplePicked,healthPicked,magnetPicked,enginePicked,scoopPicked,guardPicked,dmgDebris3,dmgDebris2,dmgDebris1,dmgHunter3,dmgHunter2,dmgHunter1,dmgUfoBodyLarge,dmgUfoBodySmall,dmgUfoShotLarge,dmgUfoShotSmall,chainLen,cargoMax,delivered,deliveryScore,cargoDamageEvents,debrisKills,hunterKills,saucerKills,hunterCoalesced,deflects,hitsTaken,scoreRepairBonus,scoreScoopBonus,debugRun,resumedRun
15.005499999999754,1,590,230,223.47793600122498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,8,0,0,0,9,0,0,0,0,1,0,0,false,false
30.005100000000006,1,1615,230,264.2632139828175,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,8,6,675,0,11,0,1,0,0,1,0,0,false,false
45.00460000000201,1,2260,250,244.19251203292174,23,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,8,9,900,0,17,0,1,1,0,1,0,0,false,false
60.004100000004215,1,4235,235,202.85585669023175,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,15,0,8,16,1775,0,18,0,2,1,0,2,0,0,false,false
75.00360000000306,1,5535,250,138.79474448991817,41,0,0,0,0,1,2,0,2,0,0,1,0,0,0,20,0,0,0,0,0,0,15,1,8,24,2875,0,18,1,2,1,0,2,0,0,false,false
90.00310000000059,1,8135,205,293.0383064692016,20,9,0,0,0,1,2,1,2,0,0,1,0,0,0,20,0,45,0,0,0,0,15,2,8,24,2875,1,19,11,3,1,0,3,0,0,false,false
105.00259999999808,2,10205,230,81.3989007329742,42,0,0,0,0,1,3,1,2,0,0,1,0,0,0,20,0,45,0,0,0,0,15,0,8,28,3225,1,24,18,3,3,0,3,0,0,false,false
120.00209999999575,2,11925,230,113.97915101692834,22,0,0,0,0,1,3,1,2,0,0,1,0,0,0,20,0,45,0,0,0,0,15,0,8,36,4325,2,32,18,3,3,0,3,0,0,false,false
135.00169999999318,2,14975,230,338.9661408965463,9,17,0,0,0,2,3,2,2,0,0,2,0,0,0,20,0,45,0,0,0,0,15,0,8,44,5425,0,32,25,4,3,0,3,0,0,false,false
150.0011999999902,2,17895,210,127.22464457040289,36,0,0,0,2,2,4,2,2,0,0,2,1,0,0,40,0,45,0,0,0,0,15,4,8,44,5425,0,39,36,4,4,0,4,0,0,false,false
165.0007999999871,2,19290,210,39.16010159786409,15,28,0,0,2,2,4,3,2,0,0,2,1,0,0,40,0,45,0,0,0,0,15,5,8,50,6100,0,40,38,5,4,0,4,0,0,false,false
180.00029999998412,2,20140,235,127.39791544907679,7,20,0,0,2,3,4,3,2,0,0,3,1,0,0,40,0,45,0,0,0,0,15,8,8,55,6600,0,42,38,6,4,0,4,0,0,false,false
195.00589999998124,2,21640,235,199.58850230316284,43,16,0,0,2,3,5,3,2,0,0,3,1,0,0,40,0,45,0,0,0,0,15,8,8,64,7750,0,46,38,6,4,0,4,0,0,false,false
210.00519999997832,3,25020,130,177.8009579623083,43,0,23,0,0,2,6,3,3,1,0,3,1,0,0,40,0,45,120,0,0,0,15,8,8,64,7750,3,62,45,7,7,1,8,0,0,false,false
225.0047999999752,3,25520,100,239.21210479004273,40,0,6,0,0,2,6,3,4,1,0,3,1,0,35,60,0,45,120,0,0,0,15,8,8,69,8250,4,62,45,7,7,1,10,0,0,false,false
